,I,dhsid,year,countries,img_path,labels
10,10,SN-2015-7Z-00000008,2015,Senegal,"1014982    SN/SN-2015-7Z-00000008/1371054613255593.jpeg
1014997    SN/SN-2015-7Z-00000008/4137075779690267.jpeg
1015021    SN/SN-2015-7Z-00000008/1493455957659061.jpeg
1014975    SN/SN-2015-7Z-00000008/1743818262445504.jpeg
1014974    SN/SN-2015-7Z-00000008/1552604584947207.jpeg
1014996    SN/SN-2015-7Z-00000008/3953280961420356.jpeg
1014994    SN/SN-2015-7Z-00000008/3960547753982528.jpeg
1015020    SN/SN-2015-7Z-00000008/1194764167623467.jpeg
1015006    SN/SN-2015-7Z-00000008/1257227088005695.jpeg
1014967    SN/SN-2015-7Z-00000008/4220422661303478.jpeg
1014991    SN/SN-2015-7Z-00000008/4001784666535571.jpeg
1015007    SN/SN-2015-7Z-00000008/2302982326504251.jpeg
1015004    SN/SN-2015-7Z-00000008/4504397612904363.jpeg
1015022    SN/SN-2015-7Z-00000008/2231569626979908.jpeg
1015000    SN/SN-2015-7Z-00000008/2910420569196700.jpeg
1014989    SN/SN-2015-7Z-00000008/1229727224127355.jpeg
1014981    SN/SN-2015-7Z-00000008/1368504966854192.jpeg
1014971    SN/SN-2015-7Z-00000008/2251840444949511.jpeg
1015028    SN/SN-2015-7Z-00000008/1578263312381155.jpeg
1015009    SN/SN-2015-7Z-00000008/1410183272694313.jpeg
Name: img_path, dtype: object",0.4607859114389001
11,11,PH-2017-7#-00000919,2017,Philippines,"902044     PH/PH-2017-7#-00000919/827017864596354.jpeg
902017     PH/PH-2017-7#-00000919/532604654813510.jpeg
902049     PH/PH-2017-7#-00000919/797623760863311.jpeg
901966     PH/PH-2017-7#-00000919/494408138654198.jpeg
902034     PH/PH-2017-7#-00000919/508229630527459.jpeg
920534     PH/PH-2017-7#-00000919/188182476510941.jpeg
901982     PH/PH-2017-7#-00000919/285974129903200.jpeg
920386     PH/PH-2017-7#-00000919/301088374898070.jpeg
920380     PH/PH-2017-7#-00000919/974313770043921.jpeg
920644    PH/PH-2017-7#-00000919/1410627345996708.jpeg
901924    PH/PH-2017-7#-00000919/1088905824964468.jpeg
920433     PH/PH-2017-7#-00000919/295582592228078.jpeg
902033     PH/PH-2017-7#-00000919/644498816506225.jpeg
920597     PH/PH-2017-7#-00000919/158129722937242.jpeg
920670     PH/PH-2017-7#-00000919/817357315863302.jpeg
901990     PH/PH-2017-7#-00000919/139760131507613.jpeg
920714    PH/PH-2017-7#-00000919/3892232810895546.jpeg
901972     PH/PH-2017-7#-00000919/395322508193171.jpeg
920540     PH/PH-2017-7#-00000919/328321875363563.jpeg
920546     PH/PH-2017-7#-00000919/142434251236621.jpeg
Name: img_path, dtype: object",0.40256641760821055
12,12,NG-2018-7Z-00001373,2018,Nigeria,"839793    NG/NG-2018-7Z-00001373/3903254563061763.jpeg
839834    NG/NG-2018-7Z-00001373/5485852291456598.jpeg
839755    NG/NG-2018-7Z-00001373/4076271492415636.jpeg
839878    NG/NG-2018-7Z-00001373/4153915724630550.jpeg
839830    NG/NG-2018-7Z-00001373/3165331173778195.jpeg
839694    NG/NG-2018-7Z-00001373/4130488227034797.jpeg
839897    NG/NG-2018-7Z-00001373/3798539126910318.jpeg
839906    NG/NG-2018-7Z-00001373/3772889346142588.jpeg
839780    NG/NG-2018-7Z-00001373/3057547487865200.jpeg
839851    NG/NG-2018-7Z-00001373/3970275603053527.jpeg
839749    NG/NG-2018-7Z-00001373/3935239199891913.jpeg
839728    NG/NG-2018-7Z-00001373/3697916190331112.jpeg
839870    NG/NG-2018-7Z-00001373/4111809718878100.jpeg
839797    NG/NG-2018-7Z-00001373/3946745782072529.jpeg
839893    NG/NG-2018-7Z-00001373/4135205746542175.jpeg
839737    NG/NG-2018-7Z-00001373/3652806898164670.jpeg
839709    NG/NG-2018-7Z-00001373/4018105274970484.jpeg
839798    NG/NG-2018-7Z-00001373/3860697430723337.jpeg
839782    NG/NG-2018-7Z-00001373/4096848643671074.jpeg
839785    NG/NG-2018-7Z-00001373/4039523829465273.jpeg
Name: img_path, dtype: object",0.16673574924436202
13,13,UG-2014-7#-00000083,2014,Uganda,"1094251     UG/UG-2014-7#-00000083/495793278288155.jpeg
1094258     UG/UG-2014-7#-00000083/212664283727970.jpeg
1094287     UG/UG-2014-7#-00000083/217713373117293.jpeg
1094255     UG/UG-2014-7#-00000083/624786081813321.jpeg
1094276     UG/UG-2014-7#-00000083/332854848184348.jpeg
1094273     UG/UG-2014-7#-00000083/473979837171848.jpeg
1094253     UG/UG-2014-7#-00000083/913605419404789.jpeg
1094266     UG/UG-2014-7#-00000083/804374907180210.jpeg
1094293     UG/UG-2014-7#-00000083/756225091748270.jpeg
1094250    UG/UG-2014-7#-00000083/3956769267764612.jpeg
1094291     UG/UG-2014-7#-00000083/453682625932514.jpeg
1094264     UG/UG-2014-7#-00000083/482983332821350.jpeg
1094254     UG/UG-2014-7#-00000083/785275432102974.jpeg
1094263    UG/UG-2014-7#-00000083/4296713193686366.jpeg
1094261     UG/UG-2014-7#-00000083/516168976067207.jpeg
1094265     UG/UG-2014-7#-00000083/572169260421439.jpeg
1094275     UG/UG-2014-7#-00000083/309513357216006.jpeg
1094290     UG/UG-2014-7#-00000083/507626187162850.jpeg
1094268     UG/UG-2014-7#-00000083/799119507395318.jpeg
1094260     UG/UG-2014-7#-00000083/476748223657973.jpeg
Name: img_path, dtype: object",-0.4276756736436552
14,14,TZ-2015-7Z-00000533,2015,Tanzania,"1069919    TZ/TZ-2015-7Z-00000533/1955354494624696.jpeg
1062341    TZ/TZ-2015-7Z-00000533/2075461415951516.jpeg
1062356    TZ/TZ-2015-7Z-00000533/2046270605529772.jpeg
1062367    TZ/TZ-2015-7Z-00000533/4083973398292686.jpeg
1062350    TZ/TZ-2015-7Z-00000533/1593694834162670.jpeg
1062342    TZ/TZ-2015-7Z-00000533/1523609937985056.jpeg
1069902    TZ/TZ-2015-7Z-00000533/1984494405022032.jpeg
1062358    TZ/TZ-2015-7Z-00000533/4087463401330868.jpeg
1062352    TZ/TZ-2015-7Z-00000533/1468715243480829.jpeg
1062361    TZ/TZ-2015-7Z-00000533/3867802149941841.jpeg
1069913    TZ/TZ-2015-7Z-00000533/1881414505360703.jpeg
1069909    TZ/TZ-2015-7Z-00000533/2949872981912596.jpeg
1069911    TZ/TZ-2015-7Z-00000533/4085030328216724.jpeg
1062347    TZ/TZ-2015-7Z-00000533/1463561097325876.jpeg
1062360    TZ/TZ-2015-7Z-00000533/2901994566705707.jpeg
1062339    TZ/TZ-2015-7Z-00000533/1434231873585170.jpeg
1069915    TZ/TZ-2015-7Z-00000533/4002791183092519.jpeg
1062354    TZ/TZ-2015-7Z-00000533/1685329881653362.jpeg
1069920    TZ/TZ-2015-7Z-00000533/1191660461273304.jpeg
1069917    TZ/TZ-2015-7Z-00000533/1915122011998027.jpeg
Name: img_path, dtype: object",0.02780787284952004
15,15,SN-2017-7Z-00000070,2017,Senegal,"1019826    SN/SN-2017-7Z-00000070/2896172340621301.jpeg
1019772    SN/SN-2017-7Z-00000070/1341499992911120.jpeg
1019815    SN/SN-2017-7Z-00000070/3575860322639806.jpeg
1019802    SN/SN-2017-7Z-00000070/1317603258636271.jpeg
1019494    SN/SN-2017-7Z-00000070/1493455957659061.jpeg
1019840    SN/SN-2017-7Z-00000070/2842169052712104.jpeg
1019632    SN/SN-2017-7Z-00000070/3948669458554654.jpeg
1019834    SN/SN-2017-7Z-00000070/4042825299115905.jpeg
1019630    SN/SN-2017-7Z-00000070/1198497167274472.jpeg
1019747    SN/SN-2017-7Z-00000070/5704895072868983.jpeg
1019414    SN/SN-2017-7Z-00000070/2302982326504251.jpeg
1019412    SN/SN-2017-7Z-00000070/1755701117948568.jpeg
1019410    SN/SN-2017-7Z-00000070/4066827780034359.jpeg
1019786    SN/SN-2017-7Z-00000070/3718587028267085.jpeg
1019715    SN/SN-2017-7Z-00000070/4143299432413032.jpeg
1019855    SN/SN-2017-7Z-00000070/2912388939033157.jpeg
1019603    SN/SN-2017-7Z-00000070/1577199432475535.jpeg
1019465    SN/SN-2017-7Z-00000070/2625739394385611.jpeg
1019781    SN/SN-2017-7Z-00000070/2344319159033737.jpeg
1019793    SN/SN-2017-7Z-00000070/1515969828754562.jpeg
Name: img_path, dtype: object",0.37998736061258376
16,16,IA-2015-7#-00140549,2015,India,"515361     IA/IA-2015-7#-00140549/285298336587243.jpeg
515418    IA/IA-2015-7#-00140549/2852446731638330.jpeg
515482     IA/IA-2015-7#-00140549/504325814328879.jpeg
515409     IA/IA-2015-7#-00140549/299080208487865.jpeg
515380    IA/IA-2015-7#-00140549/2828645804115180.jpeg
515357     IA/IA-2015-7#-00140549/275059531015572.jpeg
515463    IA/IA-2015-7#-00140549/2814222515574094.jpeg
515416     IA/IA-2015-7#-00140549/169636841633846.jpeg
515221    IA/IA-2015-7#-00140549/2863237080594199.jpeg
515470    IA/IA-2015-7#-00140549/1518787768452458.jpeg
515458     IA/IA-2015-7#-00140549/201994824932862.jpeg
515490    IA/IA-2015-7#-00140549/1833159143520526.jpeg
515460    IA/IA-2015-7#-00140549/2651845788446356.jpeg
515417     IA/IA-2015-7#-00140549/197312795544417.jpeg
515497     IA/IA-2015-7#-00140549/940156626526551.jpeg
515485    IA/IA-2015-7#-00140549/1002355980508103.jpeg
515498     IA/IA-2015-7#-00140549/186583986656424.jpeg
515491     IA/IA-2015-7#-00140549/109175071247178.jpeg
515493     IA/IA-2015-7#-00140549/307378987625503.jpeg
515181    IA/IA-2015-7#-00140549/5529344107135770.jpeg
Name: img_path, dtype: object",0.31176194917655714
17,17,PH-2017-7#-00000656,2017,Philippines,"925657     PH/PH-2017-7#-00000656/523203225514199.jpeg
903281    PH/PH-2017-7#-00000656/2243239989139560.jpeg
903196     PH/PH-2017-7#-00000656/460130491915997.jpeg
903255     PH/PH-2017-7#-00000656/205952784442967.jpeg
903246     PH/PH-2017-7#-00000656/215614983315706.jpeg
903220     PH/PH-2017-7#-00000656/150639360367813.jpeg
903164     PH/PH-2017-7#-00000656/506243250407064.jpeg
925538     PH/PH-2017-7#-00000656/915991689236390.jpeg
903131     PH/PH-2017-7#-00000656/477805410165211.jpeg
925612     PH/PH-2017-7#-00000656/802324730689696.jpeg
925599     PH/PH-2017-7#-00000656/346340093630271.jpeg
925603     PH/PH-2017-7#-00000656/479100373417394.jpeg
925507    PH/PH-2017-7#-00000656/3040157182974791.jpeg
903107     PH/PH-2017-7#-00000656/229117162300732.jpeg
903289    PH/PH-2017-7#-00000656/1220603435009630.jpeg
925558    PH/PH-2017-7#-00000656/2804774563106243.jpeg
903145     PH/PH-2017-7#-00000656/585851509059921.jpeg
903175     PH/PH-2017-7#-00000656/486551586029264.jpeg
925607     PH/PH-2017-7#-00000656/142553204444844.jpeg
925505    PH/PH-2017-7#-00000656/4160429460670468.jpeg
Name: img_path, dtype: object",0.45674470977902726
18,18,KE-2014-7#-00001293,2014,Kenya,"697633     KE/KE-2014-7#-00001293/807070303527065.jpeg
697616    KE/KE-2014-7#-00001293/1456945067985423.jpeg
697609     KE/KE-2014-7#-00001293/131988752298650.jpeg
697543    KE/KE-2014-7#-00001293/3020480538238815.jpeg
697615    KE/KE-2014-7#-00001293/2830524737276529.jpeg
697619     KE/KE-2014-7#-00001293/810357006578078.jpeg
697631    KE/KE-2014-7#-00001293/1444857209186203.jpeg
697636    KE/KE-2014-7#-00001293/3918205238293430.jpeg
697575     KE/KE-2014-7#-00001293/789257748646511.jpeg
697632     KE/KE-2014-7#-00001293/536971390626751.jpeg
697640     KE/KE-2014-7#-00001293/390935162005592.jpeg
697538     KE/KE-2014-7#-00001293/566680287644473.jpeg
697635    KE/KE-2014-7#-00001293/1009817786091604.jpeg
697634     KE/KE-2014-7#-00001293/829839954285805.jpeg
697626     KE/KE-2014-7#-00001293/378772083437441.jpeg
697612     KE/KE-2014-7#-00001293/398670531548540.jpeg
697591     KE/KE-2014-7#-00001293/297529225196311.jpeg
697629    KE/KE-2014-7#-00001293/1081471332340645.jpeg
697597    KE/KE-2014-7#-00001293/1286035548499649.jpeg
697558     KE/KE-2014-7#-00001293/784919525482411.jpeg
Name: img_path, dtype: object",-0.5708521515474685
19,19,IA-2015-7#-00250318,2015,India,"619777    IA/IA-2015-7#-00250318/1188576118257761.jpeg
619795    IA/IA-2015-7#-00250318/2893744234246299.jpeg
619803     IA/IA-2015-7#-00250318/844218952836464.jpeg
619800     IA/IA-2015-7#-00250318/794838974499732.jpeg
619807     IA/IA-2015-7#-00250318/896710757566998.jpeg
619806     IA/IA-2015-7#-00250318/836184600441955.jpeg
619816     IA/IA-2015-7#-00250318/901072174081058.jpeg
619804    IA/IA-2015-7#-00250318/4014877025267907.jpeg
619775    IA/IA-2015-7#-00250318/1417933765209288.jpeg
619819     IA/IA-2015-7#-00250318/930067294473424.jpeg
619794    IA/IA-2015-7#-00250318/4007179866042496.jpeg
619785    IA/IA-2015-7#-00250318/4052620761460674.jpeg
619810     IA/IA-2015-7#-00250318/939998063439306.jpeg
619784    IA/IA-2015-7#-00250318/4052086164857899.jpeg
619827    IA/IA-2015-7#-00250318/1180605565708946.jpeg
619814     IA/IA-2015-7#-00250318/829521317671608.jpeg
619783    IA/IA-2015-7#-00250318/4202095533137034.jpeg
619823     IA/IA-2015-7#-00250318/836442343623018.jpeg
619780    IA/IA-2015-7#-00250318/1414710142216062.jpeg
619822    IA/IA-2015-7#-00250318/1056919244836884.jpeg
Name: img_path, dtype: object",0.5503827364137558
